UniqueID;CICLO;ANIO;SEMESTRE;EDAD;SEXO;PROVINCIA;TIPOCOLEGIO;COLEEXC;COLPRE;COLPRIV;EXADMISION;ESCALA;MODALIDAD;DISTRITO;PROVINCIA;DEPARTAMENTO;DISTANCIA;FILOSOFIA;ACTIVIDADES;LENGUAJE;REALIDADNACIONAL;METODOSDEESTUDIO;INTRODUCCIONINGENIERIA;GEOMETRIAANALITICA;MATEMATICADISCRETA;APROBADO
120;20101;2010;1;18;1;1;NA;0;0;0;0.3598;14;EXONERADO CENTRO PREUNIVERSITARIO;CHORRILLOS;LIMA;LIMA;9.488;12;16;14;11;12;12;2;9;0
121;20101;2010;1;17;1;1;NA;0;0;0;0.3138;14;EXONERADO CENTRO PREUNIVERSITARIO;SANTIAGO DE SURCO;LIMA;LIMA;11.924;9;11;6;10;10;8;7;7;0
122;20101;2010;1;21;1;1;NA;0;0;0;0.3098;13;EXONERADO CENTRO PREUNIVERSITARIO;LA VICTORIA;LIMA;LIMA;8.887;15;14;13;10;10;11;5;5;0
123;20101;2010;1;18;1;1;NA;0;0;0;0.4417;14;EXONERADO CENTRO PREUNIVERSITARIO;MIRAFLORES;LIMA;LIMA;11.196;15;16;12;11;8;13;12;10;0
124;20101;2010;1;19;1;1;NA;0;0;0;0.2902;14;EXONERADO CENTRO PREUNIVERSITARIO;MAGDALENA DEL MAR;LIMA;LIMA;13.603;11;17;8;10;4;9;9;11;0
126;20101;2010;1;15;1;1;NA;0;0;0;0;15;EXONERADO POR CONVENIO DE EXCELENCIA;SANTA ANITA;LIMA;LIMA;3.151;13;18;16;14;14;14;10;14;0
128;20101;2010;1;17;1;1;NA;0;0;0;0.4143;14;EXONERADO POR CONVENIO DE EXCELENCIA;SANTA ANITA;LIMA;LIMA;3.485;12;12;10;13;10;9;3;10;0
129;20101;2010;1;17;1;0;ESTATAL;0;0;0;0.9386;15;EXONERADO POR PRIMERA ALTERNATIVA;MAGDALENA DEL MAR;LIMA;LIMA;14.334;16;13;17;13;17;14;8;12;0
133;20101;2010;1;16;1;0;PRIVADO;0;0;1;0.0707;14;EXONERADO POR PRIMERA ALTERNATIVA;SAN LUIS;LIMA;LIMA;5.718;13;8;10;10;10;9;4;9;0
134;20101;2010;1;16;1;0;ESTATAL;0;0;0;0.7914;12;EXONERADO POR PRIMERA ALTERNATIVA;LA MOLINA;LIMA;LIMA;3.902;12;11;8;13;7;11;1;7;0
